Altium Designer Pick and Place Locations
C:\Users\blinkinlabs\Desktop\compute_fpga\pcb\Project Outputs for compute_fpga\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       05/01/21
Time:       23:02
Revision:   ec2147ffef304f88b545b39512a31c8649727b1b
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C62","CAPC1005X06L","80.0000","38.5000","80.0000","38.5000","80.3900","38.5000","TopLayer","180","4.7uF"
"C45","CAPC1005X06L","82.0000","38.5000","82.0000","38.5000","81.6100","38.5000","TopLayer","360","4.7uF"
"C38","CAPC1005X06L","84.0000","38.5000","84.0000","38.5000","83.6100","38.5000","TopLayer","360","10000pF"
"C6","CAPC0603X03L","91.5000","38.0043","91.5000","38.0043","91.7600","38.0043","BottomLayer","180","0.10uF"
"J2","685119134923","6.9250","38.0000","5.0000","38.0000","10.3250","33.5000","TopLayer","270","685119134923"
"C11","CAPC1005X06L","95.5000","37.5000","95.5000","37.5000","95.8900","37.5000","BottomLayer","180","0.47uF"
"C10","CAPC1005X06L","103.5000","37.5000","103.5000","37.5000","103.5000","37.8900","BottomLayer","270","0.47uF"
"R11","ERJ2G(0402)_L","92.0000","37.0000","92.0000","37.0000","92.4000","37.0000","BottomLayer","180","100"
"P10","HDR1X2","81.0515","36.8341","82.3215","36.8341","82.3215","36.8341","TopLayer","180","Header 2"
"C12","CAPC1005X06L","97.5000","36.5000","97.5000","36.5000","97.8900","36.5000","BottomLayer","180","0.47uF"
"C89","CAPC1005X06L","129.7500","36.0000","129.7500","36.0000","130.1400","36.0000","TopLayer","180","0.022uF"
"C91","CAPC1005X06L","134.5000","35.7500","134.5000","35.7500","134.8900","35.7500","TopLayer","180","0.022uF"
"C35","CAPC1005X06L","108.5000","35.5000","108.5000","35.5000","108.8900","35.5000","BottomLayer","180","0.047uF"
"C14","CAPC1005X06L","99.5000","35.5000","99.5000","35.5000","99.5000","35.1100","BottomLayer","90","4.7uF"
"C13","CAPC1005X06L","102.5000","35.5000","102.5000","35.5000","102.1100","35.5000","BottomLayer","360","4.7uF"
"C4","CAPC1005X06L","94.0000","35.0000","94.0000","35.0000","94.0000","34.6100","BottomLayer","90","4.7uF"
"C84","CAPC1005X06L","89.5000","34.5000","89.5000","34.5000","89.1100","34.5000","BottomLayer","360","4.7uF"
"C32","CAPC1005X06L","105.5000","34.5000","105.5000","34.5000","105.8900","34.5000","BottomLayer","180","0.47uF"
"C90","CAPC1005X06L","115.5000","34.0000","115.5000","34.0000","115.5000","34.3900","TopLayer","270","0.022uF"
"C5","CAPC0603X03L","91.5000","34.0000","91.5000","34.0000","91.7600","34.0000","BottomLayer","180","0.10uF"
"C79","CAPC1005X06L","97.5000","33.5000","97.5000","33.5000","97.8900","33.5000","BottomLayer","180","4.7uF"
"C77","CAPC1005X06L","101.5000","33.5000","101.5000","33.5000","101.5000","33.1100","BottomLayer","90","0.47uF"
"C36","CAPC1005X06L","104.5000","32.5000","104.5000","32.5000","104.8900","32.5000","BottomLayer","180","4.7uF"
"C33","CAPC1005X06L","109.5000","32.5000","109.5000","32.5000","109.8900","32.5000","BottomLayer","180","0.47uF"
"C3","CAPC0603X03L","86.8000","32.4000","86.8000","32.4000","87.0600","32.4000","TopLayer","180","0.10uF"
"C2","CAPC0603X03L","86.8000","31.8000","86.8000","31.8000","87.0600","31.8000","TopLayer","180","0.10uF"
"C7","CAPC0603X03L","91.0000","31.4458","91.0000","31.4458","91.0000","31.7058","BottomLayer","270","0.10uF"
"C80","CAPC1005X06L","102.5000","30.5000","102.5000","30.5000","102.5000","30.8900","BottomLayer","270","4.7uF"
"C76","CAPC1005X06L","98.5000","30.5000","98.5000","30.5000","98.1100","30.5000","BottomLayer","360","0.47uF"
"C75","CAPC1005X06L","92.5000","30.5000","92.5000","30.5000","92.5000","30.1100","BottomLayer","90","0.47uF"
"C37","CAPC1005X06L","108.5000","30.5000","108.5000","30.5000","108.8900","30.5000","BottomLayer","180","4.7uF"
"C78","CAPC1005X06L","95.5000","29.5000","95.5000","29.5000","95.1100","29.5000","BottomLayer","360","0.47uF"
"C34","CAPC1005X06L","105.5000","29.5000","105.5000","29.5000","105.1100","29.5000","BottomLayer","360","0.047uF"
"U15","MICT-TG-54_M","127.0000","28.5000","127.0000","28.5000","137.4000","34.0500","TopLayer","270","MT48LC16M16A2P-6A:G"
"C88","CAPC1005X06L","134.5000","21.2500","134.5000","21.2500","134.1100","21.2500","TopLayer","360","0.022uF"
"C87","CAPC1005X06L","129.7500","21.2500","129.7500","21.2500","129.3600","21.2500","TopLayer","360","2.2uF"
"U9","DQA0010A_V","23.3000","16.3000","23.3000","16.3000","23.7175","17.3000","BottomLayer","180","TPD4EUSB30DQAR"
"C1","CAPC1608X09L","22.0000","12.0000","22.0000","12.0000","22.0000","12.6500","BottomLayer","270","0.10uF"
"J5","FP-ARJM11C7-502-AB-ER2-T-MFG","12.3050","12.0000","10.0000","12.0000","16.5000","6.2850","TopLayer","270","ARJM11C7-502-AB-ER2-T"
"R35","ERJ2G(0402)_L","44.0000","8.5000","44.0000","8.5000","44.0000","8.1000","TopLayer","90","2.7k"
"R34","ERJ2G(0402)_L","43.0000","8.5000","43.0000","8.5000","43.0000","8.1000","TopLayer","90","2.7k"
"U8","DQA0010A_V","23.1250","7.8750","23.1250","7.8750","22.7075","6.8750","BottomLayer","360","TPD4EUSB30DQAR"
"J8","MOLX-54548-2271","38.9999","5.5004","38.9999","5.5004","33.7499","6.4504","TopLayer","360","54548-2271"
"P4","HDR2X30","100.3300","3.8100","63.5000","2.5400","63.5000","2.5400","TopLayer","360","Header 30X2"
"R4","ERJ2G(0402)_L","25.0000","3.5000","25.0000","3.5000","25.4000","3.5000","BottomLayer","180","470"
"R3","ERJ2G(0402)_L","25.0000","2.5000","25.0000","2.5000","25.4000","2.5000","BottomLayer","180","470"
